TIC_ID,dist,dist_e,Gmag0,Gmag0_e,BmV0,BmV0_e,VmG0,VmG0_e,GmT0,GmT0_e,EBV,EBV_e,blend,blend_e,TIC_Gmag,TIC_Teff,TIC_Teff_e,TIC_rad,TIC_rad_e,TIC_mass,TIC_mass_e,flags
187920824,1224.77,57.02,10.185306064,0.0780840053176518,0.0948036999999998,0.0870797580073865,-0.0557145939999997,0.1048008776176158,-0.0013095579999993,0.0255484077131199,0.0881963,0.02369045,0.0720553070474799,0.0804280079909467,10.4252,9280.0,340.396,4.16054,0.205216,2.35,0.34941,[]
251972126,895.658,36.8325,10.83756528,0.2555437077406891,0.1948989999999992,0.2685748186937348,0.0638216200000007,0.2696507256790718,0.2081533400000004,0.0359954546640955,0.473101,0.03554285,0.087436606846719,0.098914330364267,12.1244,7264.0,231.593,3.30012,0.170767,1.64,0.292818,[]
351777561,543.34,7.5745,10.866008,0.1475918615598073,0.8328999999999986,0.1643659715337165,0.2415819999999996,0.1663416462104424,0.580474000000001,0.0341425215645494,0.2111,0.03792585,0.2601557031104821,0.3465192371343601,11.4402,4936.0,122.0,4.55378,,,,[]
386262459,399.153,11.1765,9.087871984,0.0125132342772829,0.0386147000000002,0.0391449354692455,-0.0425664140000007,0.0381214278985257,-0.0194342979999986,0.0071231701385894,0.0153853,0.00362617,0.0190024219814911,0.0263630355883744,9.12972,9557.0,131.287,2.16758,0.077387,2.43,0.327105,[]
275703451,332.277,3.2505,8.34293576,0.2383871819919001,0.2862079999999991,0.2329973955357441,0.0221090400000009,0.2484288108895584,0.2312672800000001,0.0261547657368148,0.455792,0.0257138,0.5279284447538567,0.001306084761108,9.58269,7098.0,185.867,4.03547,0.16603,1.58,0.273046,[]
285128834,6047.62,705.97,7.36362,1.0557620061644386,-1.3737499999999994,1.0490006180408094,-0.4386450000000007,1.0589676735977356,0.4299849999999994,0.6017331511679325,2.07775,0.069145,0.2831343350362144,0.191672493763932,13.0151,,,,,,,[]
172985206,468.091,12.5435,9.577906528,0.0321225514364022,0.3458774000000001,0.0583392897739085,0.1185134120000001,0.0644931560841148,0.3069090839999988,0.0092015766015939,0.0321226,0.0102228848,0.2178292358076931,0.1218699532940003,9.66528,6579.0,132.852,3.73665,0.184603,1.368,0.217948,[]
50358843,2091.15,157.6,10.19870112,0.2847978705235512,-0.1900290000000003,0.4427561937052264,0.0686089799999996,0.2941091272134375,-0.0138791400000005,0.0247619769493795,0.556029,0.0227153,0.2152774635243263,0.2394270877644586,11.7111,9470.0,123.0,6.88649,,,,[]
316119373,471.61,12.174,9.4428552,0.144615847322941,-0.1239649999999995,0.1538702476801152,-0.0514466999999992,0.160930607428326,-0.0709969000000012,0.0175216231601436,0.276965,0.0153183,0.0295955749807049,0.0327609877880466,10.1962,10511.0,337.358,1.95333,0.0678518,2.71,0.343107,[]
269295421,1956.83,193.09,9.5648608,0.3099411192823086,-0.4822350000000001,0.2310279295186027,0.0914107000000008,0.2629482387129642,-0.2721551000000009,0.1034157173219183,0.370235,0.09139155,0.2329458404138943,0.2655492984916433,10.5719,,,,,,,[]
279060522,2121.12,128.92,7.737287200000001,0.6133648153382377,0.0177600000000002,0.6347841904357812,-0.3923312000000003,0.6135286224488634,-0.1961383999999999,0.0583269915412468,1.19324,0.0523311,0.0240655200233262,0.0231140073355815,10.9829,,,,,,,[]
336823975,308.239,308.239,7.5764,2.7655740989387723,-0.3889999999999993,1.1233565774054113,-0.0514000000000002,0.7937563207439673,-0.0817999999999993,0.6600273454342631,1.0,1.0,0.0305690575724901,0.0238577546449383,10.2964,9439.0,,2.35263,,,,['GUESS_EBV']
